Occupations;Code;Pekerjaan
Airport Manager;ESR;Manajer Bandara
Airport Utility Worker;RAI;Pekerja Utilitas Bandara
Airport Utility Worker;RCI;Pekerja Utilitas Bandara
Airport Utility Worker (RCI);CRI;Pekerja Utilitas Bandara
Airport Utility Worker (RCI);CIR;Pekerja Utilitas Bandara
Air Traffic Control Specialist;SCA;Spesialis Kontrol Lalu Lintas Udara
Air Traffic Control Specialist;SCE;Spesialis Kontrol Lalu Lintas Udara
Air Traffic Control Specialist;SRA;Spesialis Kontrol Lalu Lintas Udara
Alergist/Imunologist;IAC;Ahli Alergi / Imunologi
Alergist/Imunologist;IAE;Ahli Alergi / Imunologi
Alergist/Imunologist;ICA;Ahli Alergi / Imunologi
Alergist/Imunologist;IEA;Ahli Alergi / Imunologi
Alergist/Imunologist;ISE;Ahli Alergi / Imunologi
Amusement Park Worker;SCA;Pekerja Taman Hiburan
Amusement Park Worker;SRA;Pekerja Taman Hiburan
Amusement Park Worker;SRE;Pekerja Taman Hiburan
"Analyst, Management";IAC;"Analis, Manajemen"
"Analyst, Management";IAE;"Analis, Manajemen"
"Analyst, Management";ICA;"Analis, Manajemen"
"Analyst, Management";ICR;"Analis, Manajemen"
"Analyst, Management";IEA;"Analis, Manajemen"
"Analyst, Management (ICR)";CRI;"Analis, Manajemen"
"Analyst, Management (ICR)";CIR;"Analis, Manajemen"
Anesthesiologist;IAC;Ahli anestesi
Anesthesiologist;IAE;Ahli anestesi
Anesthesiologist;ICA;Ahli anestesi
Anesthesiologist;IEA;Ahli anestesi
Anesthesiologist;IRS;Ahli anestesi
Anesthesiologist Assistant;RAI;Asisten Ahli anestesi
Anesthesiologist Assistant;RSI;Asisten Ahli anestesi
Animal Breeder;RAI;Peternak Hewan
Animal Breeder;RES;Peternak Hewan
Animal Nursery Worker;RAI;Pekerja Pembibitan Hewan
Animal Nursery Worker;RCI;Pekerja Pembibitan Hewan
Animal Nursery Worker (RCI);CRI;Pekerja Pembibitan Hewan
Animal Nursery Worker (RCI);CIR;Pekerja Pembibitan Hewan
Animal Scientist;IAC;Ilmuwan Hewan
Animal Scientist;IAE;Ilmuwan Hewan
Animal Scientist;ICA;Ilmuwan Hewan
Animal Scientist;IEA;Ilmuwan Hewan
Animal Scientist;IRS;Ilmuwan Hewan
Animal Trainer;RAI;Pelatih Hewan
Animal Trainer;RES;Pelatih Hewan
"Announcer, Amusement";ESR;"Penyiar, Hiburan"
"Announcer, Radio and TV Broadcasting";SCA;"Penyiar, Siaran Radio dan TV"
"Announcer, Radio and TV Broadcasting";SCE;"Penyiar, Siaran Radio dan TV"
"Announcer, Radio and TV Broadcasting";SRA;"Penyiar, Siaran Radio dan TV"
Anthropologist;IAC;Antropolog
Anthropologist;IAE;Antropolog
Anthropologist;ICA;Antropolog
Anthropologist;IEA;Antropolog
Anthropologist;IRE;Antropolog
Anthropologist (IRE);SEA;Antropolog
Appeals Referee;SCA;Wasit Banding
Appeals Referee;SCE;Wasit Banding
Appeals Referee;SRA;Wasit Banding
Appliance Service Supervisor;ERS;Pengawas Layanan Perkakas
Appraiser;CAE;juru taksir
Appraiser;CAI;juru taksir
Appraiser;CAR;juru taksir
Appraiser;CAS;juru taksir
Appraiser;CEA;juru taksir
Appraiser;CIR;juru taksir
Appraiser;CSA;juru taksir
"Appraiser, Governmental Sevices";IAC;"Penilai, Layanan Pemerintah"
"Appraiser, Governmental Sevices";IAE;"Penilai, Layanan Pemerintah"
"Appraiser, Governmental Sevices";ICA;"Penilai, Layanan Pemerintah"
"Appraiser, Governmental Sevices";IEA;"Penilai, Layanan Pemerintah"
"Appraiser, Governmental Sevices";IES;"Penilai, Layanan Pemerintah"
"Appraiser, Real Estate";ECR;"Penilai, Perumahan"
Arbitrator;SCA;Wasit
Arbitrator;SEA;Wasit
Arbitrator;SRA;Wasit
Archeologist;IAC;arkeolog
Archeologist;IAE;arkeolog
Archeologist;ICA;arkeolog
Archeologist;IEA;arkeolog
Archeologist;IRE;arkeolog
Archeologist (IRE);SEA;arkeolog
Architect;AIC;Arsitek
Architect;AIR;Arsitek
Architect;ARC;Arsitek
Architect (AIR);ARI;Arsitek
Architect (AIR);IAR;Arsitek
Architect (AIR);IRA;Arsitek
"Architect, Marine";IAC;"Arsitek, Marinir"
"Architect, Marine";IAE;"Arsitek, Marinir"
"Architect, Marine";ICA;"Arsitek, Marinir"
"Architect, Marine";IEA;"Arsitek, Marinir"
"Architect, Marine";IRE;"Arsitek, Marinir"
"Architect, Marine (IRE)";SEA;"Arsitek, Marinir"
Archivist;AES;#N/A
Art Appraiser;IAC;Penilai Seni
Art Appraiser;IAE;Penilai Seni
Art Appraiser;IAS;Penilai Seni
Art Appraiser;ICA;Penilai Seni
Art Appraiser;IEA;Penilai Seni
Art Appraiser (IAS);AIS;Penilai Seni
Art Director;AES;#N/A
Artificial Breeding Technician;RAI;Teknisi pembiakan buatan
Artificial Breeding Technician;RCS;Teknisi pembiakan buatan
"Artist and Repertoire Manager, Music";AES;#N/A
"Artist, Body Makeup";AER;#N/A
"Artist, Body Makeup (AER)";ERA;#N/A
"Artist, Exhibit";AIC;"Artis, Pameran"
"Artist, Exhibit";ARC;"Artis, Pameran"
"Artist, Exhibit";ASI;"Artis, Pameran"
"Artist, Exhibit (ASI)";AIS;"Artis, Pameran"
"Artist, Exhibit (ASI)";IAS;"Artis, Pameran"
"Artist, Fashion";AER;#N/A
"Artist, Fashion (AER)";ERA;#N/A
"Artist, Police";ASC;#N/A
"Artist, Police (ASC)";SAC;#N/A
"Artist, Quick Sketch";AIC;"Artis, Sketsa Cepat"
"Artist, Quick Sketch";ARC;"Artis, Sketsa Cepat"
"Artist, Quick Sketch";ASE;"Artis, Sketsa Cepat"
Art Therapist;SAI;Terapis Seni
Art Therapist;SCA;Terapis Seni
Art Therapist;SRA;Terapis Seni
Art Therapist (SAI);AIS;Terapis Seni
Art Therapist (SAI);IAS;Terapis Seni
"Assembler, Aircarft";RAI;Perakit Pesawat
"Assembler, Aircarft";RCI;Perakit Pesawat
"Assembler, Aircarft (RCI)";CRI;Perakit Pesawat
"Assembler, Aircarft (RCI)";CIR;Perakit Pesawat
"Assembler and Tester, Electronics";RAI;"Perakit dan Penguji, Elektronik"
"Assembler and Tester, Electronics";RIC;"Perakit dan Penguji, Elektronik"
"Assembler and Tester, Electronics (RIC)";CRI;"Perakit dan Penguji, Elektronik"
"Assembler and Tester, Electronics (RIC)";CIR;"Perakit dan Penguji, Elektronik"
"Assembler, Atomic Fuel";RAI;Perakit Bahan Bakar Atom
"Assembler, Atomic Fuel";RCS;Perakit Bahan Bakar Atom
"Assembler, Electrical Accessories";RAI;"Perakit, Aksesoris Listrik"
"Assembler, Electrical Accessories";RCS;"Perakit, Aksesoris Listrik"
"Assembler, Electric Signs";CAE;"Perakit, lampu listrik"
"Assembler, Electric Signs";CAI;"Perakit, lampu listrik"
"Assembler, Electric Signs";CAR;"Perakit, lampu listrik"
"Assembler, Electric Signs";CAS;"Perakit, lampu listrik"
"Assembler, Electric Signs";CEA;"Perakit, lampu listrik"
"Assembler, Electric Signs";CRS;"Perakit, lampu listrik"
"Assembler, Electric Signs";CSA;"Perakit, lampu listrik"
"Assembler, Electronics";CAE;"Perakit, Elektronik"
"Assembler, Electronics";CAI;"Perakit, Elektronik"
"Assembler, Electronics";CAR;"Perakit, Elektronik"
"Assembler, Electronics";CAS;"Perakit, Elektronik"
"Assembler, Electronics";CEA;"Perakit, Elektronik"
"Assembler, Electronics";CRE;"Perakit, Elektronik"
"Assembler, Electronics";CSA;"Perakit, Elektronik"
"Assembler, Engine";RAI;"Perakit, Mesin"
"Assembler, Engine";RCI;"Perakit, Mesin"
"Assembler, Engine (RCI)";CRI;"Perakit, Mesin"
"Assembler, Engine (RCI)";CIR;"Perakit, Mesin"
"Assembler, Equipment";RAI;Perakit Peralatan
"Assembler, Equipment";RCI;Perakit Peralatan
"Assembler, Equipment (RCI)";CRI;Perakit Peralatan
"Assembler, Equipment (RCI)";CIR;Perakit Peralatan
"Assembler, Leather Goods";CAE;"Perakit, Barang-barang kulit"
"Assembler, Leather Goods";CAI;"Perakit, Barang-barang kulit"
"Assembler, Leather Goods";CAR;"Perakit, Barang-barang kulit"
"Assembler, Leather Goods";CAS;"Perakit, Barang-barang kulit"
"Assembler, Leather Goods";CEA;"Perakit, Barang-barang kulit"
"Assembler, Leather Goods";CRE;"Perakit, Barang-barang kulit"
"Assembler, Leather Goods";CSA;"Perakit, Barang-barang kulit"
"Assembler, Musical Instruments";CAE;"Perakit, Instrumen Musik"
"Assembler, Musical Instruments";CAI;"Perakit, Instrumen Musik"
"Assembler, Musical Instruments";CAR;"Perakit, Instrumen Musik"
"Assembler, Musical Instruments";CAS;"Perakit, Instrumen Musik"
"Assembler, Musical Instruments";CEA;"Perakit, Instrumen Musik"
"Assembler, Musical Instruments";CRS;"Perakit, Instrumen Musik"
"Assembler, Musical Instruments";CSA;"Perakit, Instrumen Musik"
"Assembler, Small Pruducts";CAE;Perakit Produk kecil
"Assembler, Small Pruducts";CAI;Perakit Produk kecil
"Assembler, Small Pruducts";CAR;Perakit Produk kecil
"Assembler, Small Pruducts";CAS;Perakit Produk kecil
"Assembler, Small Pruducts";CEA;Perakit Produk kecil
"Assembler, Small Pruducts";CRS;Perakit Produk kecil
"Assembler, Small Pruducts";CSA;Perakit Produk kecil
"Assembler, Switchboard Contact";CAE;"Perakit, Kontak Papan Wesel"
"Assembler, Switchboard Contact";CAI;"Perakit, Kontak Papan Wesel"
"Assembler, Switchboard Contact";CAR;"Perakit, Kontak Papan Wesel"
"Assembler, Switchboard Contact";CAS;"Perakit, Kontak Papan Wesel"
"Assembler, Switchboard Contact";CEA;"Perakit, Kontak Papan Wesel"
"Assembler, Switchboard Contact";CRE;"Perakit, Kontak Papan Wesel"
"Assembler, Switchboard Contact";CSA;"Perakit, Kontak Papan Wesel"
Assembly Line Inspector;CAE;Inspektur/Peninjau Jalur Perakitan
Assembly Line Inspector;CAI;Inspektur/Peninjau Jalur Perakitan
Assembly Line Inspector;CAR;Inspektur/Peninjau Jalur Perakitan
Assembly Line Inspector;CAS;Inspektur/Peninjau Jalur Perakitan
Assembly Line Inspector;CEA;Inspektur/Peninjau Jalur Perakitan
Assembly Line Inspector;CRS;Inspektur/Peninjau Jalur Perakitan
Assembly Line Inspector;CSA;Inspektur/Peninjau Jalur Perakitan
"Assembly Supervisor, Agricultural Equipment";ESR;"Pengawas Majelis, Peralatan Pertanian"
"Assembly Supervisor, Woodworking";ERS;"Pengawas Majelis, Pertukangan"
"Assignment Clerk, Motor Transportation";CAE;"Petugas juru tulis, Transportasi Motor"
"Assignment Clerk, Motor Transportation";CAI;"Petugas juru tulis, Transportasi Motor"
"Assignment Clerk, Motor Transportation";CAR;"Petugas juru tulis, Transportasi Motor"
"Assignment Clerk, Motor Transportation";CAS;"Petugas juru tulis, Transportasi Motor"
"Assignment Clerk, Motor Transportation";CEA;"Petugas juru tulis, Transportasi Motor"
"Assignment Clerk, Motor Transportation";CSA;"Petugas juru tulis, Transportasi Motor"
"Assignment Clerk, Motor Transportation";CSR;"Petugas juru tulis, Transportasi Motor"
association Executive;ESA;Asosiasi eksekutif
Astronomer;IAC;Ahli astronomi
Astronomer;IAE;Ahli astronomi
Astronomer;ICA;Ahli astronomi
Astronomer;IEA;Ahli astronomi
Astronomer;IRE;Ahli astronomi
Astronomer (IRE);SEA;Ahli astronomi
"Athlete, Professional";SCA;Atlet Profesional
"Athlete, Professional";SRA;Atlet Profesional
"Athlete, Professional";SRC;Atlet Profesional
Athletic Director;SCA;Direktur Atletik
Athletic Director;SER;Direktur Atletik
Athletic Director;SRA;Direktur Atletik
Athletic Trainer;SCA;Pelatih Atletik
Athletic Trainer;SRA;Pelatih Atletik
Athletic Trainer;SRE;Pelatih Atletik
"Attorney, Insurance";SCA;"Pengacara, Asuransi"
"Attorney, Insurance";SEI;"Pengacara, Asuransi"
"Attorney, Insurance";SRA;"Pengacara, Asuransi"
"Attorney, Tax";ESI;"Pengacara, Pajak"
Auctioneer;EAS;Juru lelang
Audio and Video Equipment Technician;RAI;Teknisi Peralatan Audio dan Video
Audio and Video Equipment Technician;RIA;Teknisi Peralatan Audio dan Video
Audio and Video Equipment Technician (RIA);AIR;Teknisi Peralatan Audio dan Video
Audio and Video Equipment Technician (RIA);ARI;Teknisi Peralatan Audio dan Video
Audio and Video Equipment Technician (RIA);IAR;Teknisi Peralatan Audio dan Video
Audio and Video Equipment Technician (RIA);IRA;Teknisi Peralatan Audio dan Video
Audiologist;IAC;Audiolog
Audiologist;IAE;Audiolog
Audiologist;ICA;Audiolog
Audiologist;IEA;Audiolog
Audiologist;ISR;Audiolog
Audiometrist;SCA;Audiometri
Audiometrist;SRA;Audiometri
Audiometrist;SRC;Audiometri
Audio Operator;RAI;Operator Audio
Audio Operator;RES;Operator Audio
Audiovisual Production Specialist;AES;#N/A
Audiovisual Technician;RAI;Teknisi Audio Visual
Audiovisual Technician;RCI;Teknisi Audio Visual
Audiovisual Technician (RCI);CRI;#N/A
Audiovisual Technician (RCI);CIR;#N/A
Auditor;ECI;Auditor
Auditor (ECI);ICE;#N/A
Auditor (ECI);CIE;#N/A
Auditor (ECI);CEI;#N/A
"Auditor, Internal";IAC;"Auditor, Internal"
"Auditor, Internal";IAE;"Auditor, Internal"
"Auditor, Internal";ICA;"Auditor, Internal"
"Auditor, Internal";ICR;"Auditor, Internal"
"Auditor, Internal";IEA;"Auditor, Internal"
"Auditor, Internal (ICR)";CRI;#N/A
"Auditor, Internal (ICR)";CIR;#N/A
Auto Design Detailer;IAC;Detailer Desain Otomatis
Auto Design Detailer;IAE;Detailer Desain Otomatis
Auto Design Detailer;ICA;Detailer Desain Otomatis
Auto Design Detailer;IEA;Detailer Desain Otomatis
Auto Design Detailer;IRE;Detailer Desain Otomatis
Auto Design Detailer (IRE);SEA;#N/A
Automobile Body Repairer;RAI;Bengkel Mobil
Automobile Body Repairer;RIE;Bengkel Mobil
Automobile Body Repair Supervisor;SCA;Pengawas Perbaikan Mobil
Automobile Body Repair Supervisor;SER;Pengawas Perbaikan Mobil
Automobile Body Repair Supervisor;SRA;Pengawas Perbaikan Mobil
Automobile Detailer;RAI;Detailer Mobil
Automobile Detailer;RCE;Detailer Mobil
Automobile Mechanic;RAI;Mekanik Otomotif
Automobile Mechanic;RCI;Mekanik Otomotif
Automobile Mechanic (RCI);CRI;#N/A
Automobile Mechanic (RCI);CIR;#N/A
Automobile Racer;RAI;Pembalap mobil
Automobile Racer;RES;Pembalap mobil
Automobile Rental Clerk;ESC;Petugas Penyewaan Mobil
Automobile Service Station Attendant;RAI;Petugas Bengkel Servis Mobil
Automobile Service Station Attendant;RES;Petugas Bengkel Servis Mobil
Automobile Service Station Mechanic;RAI;Petugas Bengkel Servis Mobil
Automobile Service Station Mechanic;RIC;Petugas Bengkel Servis Mobil
Automobile Service Station Mechanic (RIC);CRI;#N/A
Automobile Service Station Mechanic (RIC);CIR;#N/A
"Automobile Tester, Governmetal Services";RAI;"Penguji Otomotif, Layanan Pemerintah"
"Automobile Tester, Governmetal Services";RCE;"Penguji Otomotif, Layanan Pemerintah"
Automotive Engineering Technician;RAI;Teknisi Teknik Otomotif
Automotive Engineering Technician;RIC;Teknisi Teknik Otomotif
Automotive Engineering Technician (RIC);CRI;#N/A
Automotive Engineering Technician (RIC);CIR;#N/A
Baggage and Mail Agent;ERS;Agen Bagasi dan Surat
Baggage Handler;RAI;Penangan Bagasi
Baggage Handler;REC;Penangan Bagasi
Bailiff;ESR;Juru sita
Baker;RAI;Tukang roti
Baker;RSE;Tukang roti
"Ballistics Expert, Forensic";IAC;"Pakar Balistik, Forensik"
"Ballistics Expert, Forensic";IAE;"Pakar Balistik, Forensik"
"Ballistics Expert, Forensic";ICA;"Pakar Balistik, Forensik"
"Ballistics Expert, Forensic";IEA;"Pakar Balistik, Forensik"
"Ballistics Expert, Forensic";IRE;"Pakar Balistik, Forensik"
"Ballistics Expert, Forensic (IRE)";SEA;#N/A
Bank Examiner;EIC;Pemeriksa Bank
Bank Examiner (EIC);ICE;#N/A
Bank Examiner (EIC);CIE;#N/A
Bank Examiner (EIC);CEI;#N/A
Bank Teller;CAE;Teller Bank
Bank Teller;CAI;Teller Bank
Bank Teller;CAR;Teller Bank
Bank Teller;CAS;Teller Bank
Bank Teller;CEA;Teller Bank
Bank Teller;CSA;Teller Bank
Bank Teller;CSE;Teller Bank
Bank Teller Supervisor;SCA;Pengawas Bank Teller
Bank Teller Supervisor;SEC;Pengawas Bank Teller
Bank Teller Supervisor;SRA;Pengawas Bank Teller
Barber;ESR;Tukang cukur
Barista;ECS;Barista
Bartender;SCA;Pelayan Bar
Bartender;SEC;Pelayan Bar
Bartender;SRA;Pelayan Bar
Bibliographer;CAE;"ahli bibliografi
"
Bibliographer;CAI;"ahli bibliografi
"
Bibliographer;CAR;"ahli bibliografi
"
Bibliographer;CAS;"ahli bibliografi
"
Bibliographer;CEA;"ahli bibliografi
"
Bibliographer;CSA;"ahli bibliografi
"
Bibliographer;CSR;"ahli bibliografi
"
Billing Clerk;CAE;Petugas Penagihan
Billing Clerk;CAI;Petugas Penagihan
Billing Clerk;CAR;Petugas Penagihan
Billing Clerk;CAS;Petugas Penagihan
Billing Clerk;CEA;Petugas Penagihan
Billing Clerk;CRS;Petugas Penagihan
Billing Clerk;CSA;Petugas Penagihan
"Bindery Worker, Printing and Publishing";RAI;"Pekerja Penjilidan, Percetakan dan Penerbitan"
"Bindery Worker, Printing and Publishing";REC;"Pekerja Penjilidan, Percetakan dan Penerbitan"
Biochemist;IAC;Ahli biokimia
Biochemist;IAE;Ahli biokimia
Biochemist;ICA;Ahli biokimia
Biochemist;IEA;Ahli biokimia
Biochemist;IRS;Ahli biokimia
Biofuel Processing Technician;RAI;Teknisi Pengolahan biofuel
Biofuel Processing Technician;RCI;Teknisi Pengolahan biofuel
Biofuel Processing Technician (RCI);CRI;#N/A
Biofuel Processing Technician (RCI);CIR;#N/A
Bioinformatics Scientist;IAC;Ilmuwan Bioinformatika
Bioinformatics Scientist;IAE;Ilmuwan Bioinformatika
Bioinformatics Scientist;ICA;Ilmuwan Bioinformatika
Bioinformatics Scientist;ICR;Ilmuwan Bioinformatika
Bioinformatics Scientist;IEA;Ilmuwan Bioinformatika
Bioinformatics Scientist (ICR);CRI;#N/A
Bioinformatics Scientist (ICR);CIR;#N/A
Bioinformatics Technician;IAC;Teknisi Bioinformatika
Bioinformatics Technician;IAE;Teknisi Bioinformatika
Bioinformatics Technician;ICA;Teknisi Bioinformatika
Bioinformatics Technician;ICS;Teknisi Bioinformatika
Bioinformatics Technician;IEA;Teknisi Bioinformatika
Biological Aide;RAI;Ajudan Biologis
Biological Aide;RSI;Ajudan Biologis
Biological Scientist;IAC;Ilmuwan Biologi
Biological Scientist;IAE;Ilmuwan Biologi
Biological Scientist;ICA;Ilmuwan Biologi
Biological Scientist;IEA;Ilmuwan Biologi
Biological Scientist;IRC;Ilmuwan Biologi
Biological Scientist (IRC);CRI;#N/A
Biological Scientist (IRC);CIR;#N/A
Biologist;IAC;Ahli biologi
Biologist;IAE;Ahli biologi
Biologist;IAR;Ahli biologi
Biologist;ICA;Ahli biologi
Biologist;IEA;Ahli biologi
Biologist (IAR);AIR;#N/A
Biologist (IAR);ARI;#N/A
Biologist (IAR);IRA;#N/A
Biomass Plant Technician;RAI;Teknisi Pabrik Biomassa
Biomass Plant Technician;RCI;Teknisi Pabrik Biomassa
Biomass Plant Technician (RCI);CRI;#N/A
Biomass Plant Technician (RCI);CIR;#N/A
Biomedical Equipment Technician;RAI;Teknisi Peralatan Biomedis
Biomedical Equipment Technician;RIE;Teknisi Peralatan Biomedis
Biophysicist;IAC;Ahli biofisika
Biophysicist;IAE;Ahli biofisika
Biophysicist;ICA;Ahli biofisika
Biophysicist;IEA;Ahli biofisika
Biophysicist;IRE;Ahli biofisika
Biophysicist (IRE);SEA;#N/A
Biostatistician;IAC;Ahli biostatistik
Biostatistician;IAE;Ahli biostatistik
Biostatistician;ICA;Ahli biostatistik
Biostatistician;IEA;Ahli biostatistik
Biostatistician;IRC;Ahli biostatistik
Biostatistician (IRC);CRI;#N/A
Biostatistician (IRC);CIR;#N/A
Blaster;RAI;Blaster
Blaster;RIE;Blaster
Blind Aide;SCA;Pembantu orang yang buta
Blind Aide;SCE;Pembantu orang yang buta
Blind Aide;SRA;Pembantu orang yang buta
Boat Outfitter;RAI;Penjual pakaian kapal
Boat Outfitter;REI;Penjual pakaian kapal
Boat Repairer;RAI;Teknisi Perbaikan Kapal
Boat Repairer;RES;Teknisi Perbaikan Kapal
Bodyguard;ESC;Pengawal
Boilermaker;RAI;Pembuat ketel
Boilermaker;RCE;Pembuat ketel
Bookbinder;RAI;Penjilid buku
Bookbinder;RES;Penjilid buku
Border Guard;SCA;Penjaga perbatasan
Border Guard;SRA;Penjaga perbatasan
Border Guard;SRE;Penjaga perbatasan
Botanist;IAC;Ahli botani
Botanist;IAE;Ahli botani
Botanist;ICA;Ahli botani
Botanist;IEA;Ahli botani
Botanist;IRS;Ahli botani
Bricklayer;RAI;Tukang Tembok
Bricklayer;REI;Tukang Tembok
Bricklayer Supervisor;ERS;Pengawas Tukang Tembok
Bridge Inspector;RAI;Inspektur jembatan
Bridge Inspector;RSI;Inspektur jembatan
Broadcast Checker;CAE;Pemeriksa Siaran
Broadcast Checker;CAI;Pemeriksa Siaran
Broadcast Checker;CAR;Pemeriksa Siaran
Broadcast Checker;CAS;Pemeriksa Siaran
Broadcast Checker;CEA;Pemeriksa Siaran
Broadcast Checker;CER;Pemeriksa Siaran
Broadcast Checker;CSA;Pemeriksa Siaran
