Program Studi;Kode
Parts and Warehousing Operations and Maintenance Technology/Technician;RAE
Polysomnography;RAE
"Security System Installation, Repair, and Inspection Technology/Technician";RAE
Traffic Control;RAE
Truck and Bus Driver/Commercial Vehicle Operator and Instructor;RAE
Upholstery/Upholsterer;RAE
Apparel and Tectile Manufacture;RAE
Carpentery/Carpenter;RAE
Landscaping and Groundskeeping;RAE
Pipefitting/Pipefitter and Sprinkler Fitter;RAE
Plumbing and Related Water Supply Services;RAE
Applied Horticulture/Horticulture Operations;RAC
Aquaculture;RAC
Business Machine Repair;RAC
Cabinet Making and Millwork;RAC
Communications Techology/Technician;RAC
Computer Installation and Repair Technology/Technician;RAC
Environmental Control Technology/Technician;RAC
Hazardous Mataerials Information Systems Technology/Technician;RAC
Mining Technology/Technician;RAC
Nuclear Medical Technology/Technologist;RAC
Opticianty/Opththalmic Dispensing Optician;RAC
Ornamental Horticulture;RAC
Poultry Science;RAC
Telecommunications Techology/Technician;RAC
Urban Forestry;RAC
Aeronautical/Aerospace Engineering Technology/Technician;RAC
Agricultural Mechanics and Equipment/Machine Technology;RAC
Aircraft Powerplant Technology/Technician;RAC
Airframe Mechanics and Aircraft Maintenance Technology/Technician;RAC
Airline/Commercial/Professional/Pilot and Flight Crew;RAC
Appliance Installation and Repair Technology/Technician;RAC
Biology Technician/Biotechnology/Laboratory Technician;RAC
Biomedical Technology/Technician;RAC
Blastig/Blaster;RAC
Civil Drafting and Civil Egineering CAD/CADD;RAC
Computer Engineerig Technology/Technician;RAC
Engine Machinist;RAC
Engineering/Industrial Management;RAC
Flight Instructor;RAC
Gunsmithing/Gunsmith;RAC
Instrumentation Technology/Technician;RAC
Machine Shop Technology/Assistant;RAC
Motorcycle Maintenance and Repair Technology/Technician;RAC
Ophthalmic Laboratory Technology/Technician;RAC
Welding Engineering Technology/Technician;RAC
Welding Technology/Welder;RAC
Alternative Fuel Vehicle Tecchnology/Technician;RAC
Building Construction Technology;RAC
Construction Engineering Technology/Technician;RAC
Forestry;RAC
Mining and Petroleum Techology/Technician;RAC
Petroleum Technology/Technician;RAC
Quality Control Technology/Technician;RAC
Vehicle Emissions Inspection and Maintenance Techology;RAC
Vehicle Maintenance and Repair Technology;RAC
Baking and Pastry Arts/Baker/Pastry Chef;RAC
Cooking and Related Culinary Arts;RAC
Culinary Arts/Chef Training;RAC
Animal/Livestock Husbandry and Production;RAC
Diagnostic Medical Sonography/Sonographer and Ultrasound Techinican;RAC
Emergency Medical Technology/Technician (EMT Paramedic);RAC
Fire Science/Fire Fighting;RAC
Horse Husbandry/Equine Science and Management;RAC
Aesthetician/Esthetician and Skin Care Specialist;RAC
Facial Treatment Specialist/Facialist;RAC
Agricultural Power Machinery Operation;RAC
Assertive/Argumentative Technology and Rehabilitation Egineering;RAC
Meat Cutting/Meat Cutter;RAC
Orthodontics/Orthodontology;RAC
Bicycle Mechanics and Repair Technology/Technician;RAC
Precision Metal Working;RAC
Agricultural Mechanization;RAC
Agricultural Teacher Education;RAC
Commercial Fishing;RAC
Communications Systems Installation and Repair Technology;RAC
Diesel Mechanics Technology/Technician;RAC
Greenhouse Operations and Management;RAC
Industrial Mechanics and Maintenance Technology;RAC
Marine Maintenance/Fitter and Ship Repair Technology/Technician;RAC
Metal Building Assembly/Assembler;RAC
Metallurgical Technology/Technician;RAC
Plumbing Techology/Plumber;RAC
Sheet Metal Technology/Sheetworking;RAC
"Traffic, Customs, and Transportation Clerk/Technician";RAC
Turf and Turfgrass Management;RAC
Water Quality and Wastewater Treatment Management and Recycling Technology/Technician;RAC
Woodworking;RAC
Graphic Communications;RAC
Agricultural Animal Breeding;RAC
Animal Training;RAC
Building/Property Maintenance;RAC
Concrete Finishing/Concrete Finisher;RAC
"Diver, Professional and Instructor";RAC
Equestrian/Equine Studies;RAC
Fishing and Fisheries Science and Management;RAC
Health and Physical Education/Fitness;RAC
"Heating, Air Conditioning, Vetilation, and Refrigeration Maintenance Technology/Techician";RAC
"Heating, Ventilation, Air Conditioning, and Refrigeration Engineering Technology/Technician";RAC
Maritime Studies;RAC
Mason/Maasonry;RAC
Massage Therapy/Therapeutic Massage;RAC
Agribusiness/Agricultural Business Operations;RAC
Agricultural Busiess and Management;RAC
Agricultural Business Technology;RAC
Building/Home/Costruction Inspection/Inspector;RAC
Criminalistics and Criminal Science;RAC
Dental Laboratory Techology/Technician;RAC
Locksmithing and Safe Repair;RAC
Metal and Jewelry Arts;RAC
Plastics and Polymer Engineering Technology/Technician;RAC
Roofer;RAC
Small Engine Mechanics and Repair Technology/Technician;RAC
Watchmaking and Jewelry Making;RAC
Automobile/Automotive Mechanics Technology/Technician;RAC
Automotive Engineering Technology/Technician;RAC
Construction/Heavy Equipment/Earthmoving Equipment Operation;RAC
Dog/Pet/Animal Grooming;RAC
Electrocardiograph Technology/Technician;RAC
Engineering Acoustics;RAC
Industrial Electronics Technology/Technician;RAC
Integrated Circuit Design;RAC
Mortuary Science and Embalming/Embalmer;RAC
Operational Oceanography;RAC
Photographic and Film/Video Technology/Technician and Assistant;RAC
Printing Press Operator;RAC
Radar Communications ad Systems Technology;RAC
Recording  Arts Technology/Technician;RAC
Recreation Vehicle (RV) Service Technician;RAC
Semiconductor Manufacturing Technology;RAC
Solar Energy Technology/Technician;RAC
Tool and Die Technology/Technician;RAC
Undersea Warfare;RAC
Electrical and Power Transmission Installation;RAC
Electroneurodiagostic/Electroencephalographic Technology/Technologist;RAC
Furniture Design and Manufacturing;RAC
Industrial Radiologic Technology/Technician;RAC
Medium/Heavy Vehicle and Truck Technology/Technician;RAC
Nuclear and Industrial Radiologic Technology/Technician;RAC
Nuclear Engineering Technology/Technician;RAC
Nuclear/Nuclear Power Technology/Technician;RAC
Parts and Warehousing Operations and Maintenance Technology/Technician;RAC
Polysomnography;RAC
"Security System Installation, Repair, and Inspection Technology/Technician";RAC
Traffic Control;RAC
Truck and Bus Driver/Commercial Vehicle Operator and Instructor;RAC
Upholstery/Upholsterer;RAC
Apparel and Tectile Manufacture;RAC
Carpentery/Carpenter;RAC
Landscaping and Groundskeeping;RAC
Pipefitting/Pipefitter and Sprinkler Fitter;RAC
Plumbing and Related Water Supply Services;RAC
Animal/Livestock Husbandry and Production;RSI
Diagnostic Medical Sonography/Sonographer and Ultrasound Techinican;RSI
Emergency Medical Technology/Technician (EMT Paramedic);RSI
Fire Science/Fire Fighting;RSI
Horse Husbandry/Equine Science and Management;RSI
Aesthetician/Esthetician and Skin Care Specialist;RSA
Facial Treatment Specialist/Facialist;RSA
Agricultural Power Machinery Operation;RSE
Assertive/Argumentative Technology and Rehabilitation Egineering;RSE
Meat Cutting/Meat Cutter;RSE
Orthodontics/Orthodontology;RSE
Bicycle Mechanics and Repair Technology/Technician;RSC
Precision Metal Working;RSC
Agricultural Mechanization;REI
Agricultural Teacher Education;REI
Commercial Fishing;REI
Communications Systems Installation and Repair Technology;REI
Diesel Mechanics Technology/Technician;REI
Greenhouse Operations and Management;REI
Industrial Mechanics and Maintenance Technology;REI
Marine Maintenance/Fitter and Ship Repair Technology/Technician;REI
Metal Building Assembly/Assembler;REI
Metallurgical Technology/Technician;REI
Plumbing Techology/Plumber;REI
Sheet Metal Technology/Sheetworking;REI
"Traffic, Customs, and Transportation Clerk/Technician";REI
Turf and Turfgrass Management;REI
Water Quality and Wastewater Treatment Management and Recycling Technology/Technician;REI
Woodworking;REI
Graphic Communications;REA
Agricultural Animal Breeding;RES
Animal Training;RES
Building/Property Maintenance;RES
Concrete Finishing/Concrete Finisher;RES
"Diver, Professional and Instructor";RES
Equestrian/Equine Studies;RES
Fishing and Fisheries Science and Management;RES
Health and Physical Education/Fitness;RES
"Heating, Air Conditioning, Vetilation, and Refrigeration Maintenance Technology/Techician";RES
"Heating, Ventilation, Air Conditioning, and Refrigeration Engineering Technology/Technician";RES
Maritime Studies;RES
Mason/Maasonry;RES
Massage Therapy/Therapeutic Massage;RES
Agribusiness/Agricultural Business Operations;REC
Agricultural Busiess and Management;REC
Agricultural Business Technology;REC
Building/Home/Costruction Inspection/Inspector;REC
Criminalistics and Criminal Science;REC
Dental Laboratory Techology/Technician;REC
Locksmithing and Safe Repair;REC
Metal and Jewelry Arts;REC
Plastics and Polymer Engineering Technology/Technician;REC
Roofer;REC
Small Engine Mechanics and Repair Technology/Technician;REC
Watchmaking and Jewelry Making;REC
Automobile/Automotive Mechanics Technology/Technician;RCI
Automotive Engineering Technology/Technician;RCI
Construction/Heavy Equipment/Earthmoving Equipment Operation;RCI
Dog/Pet/Animal Grooming;RCI
Electrocardiograph Technology/Technician;RCI
Engineering Acoustics;RCI
Industrial Electronics Technology/Technician;RCI
Integrated Circuit Design;RCI
Mortuary Science and Embalming/Embalmer;RCI
Operational Oceanography;RCI
Photographic and Film/Video Technology/Technician and Assistant;RCI
Printing Press Operator;RCI
Radar Communications ad Systems Technology;RCI
Recording  Arts Technology/Technician;RCI
Recreation Vehicle (RV) Service Technician;RCI
Semiconductor Manufacturing Technology;RCI
Solar Energy Technology/Technician;RCI
Tool and Die Technology/Technician;RCI
Undersea Warfare;RCI
Applied Horticulture/Horticulture Operations;RCA
Aquaculture;RCA
Business Machine Repair;RCA
